id,name,requestedBy,blueprintId,deploymentId,resourceIds,inputs,status,details,createdAt,updatedAt,totalTasks,completedTasks,actionId,catalogItemId,outputs
272e412f-73ba-4f31-a0db-c5fc9c55fa8c,Create Snapshot,administrator,,"maks0",['f99e8bb8-9458-465d-a5d0-be4304ccc981'],"{'name': 'new', 'memorySnapshot': False}",SUCCESSFUL,,2023-05-16T17:49:11.798341Z,2023-05-16T17:50:27.130483Z,2,2,Cloud.vSphere.Machine.Snapshot.Create,,

09c8eb74-7d90-4e5c-92f2-1a34303613e7,Create,administrator,"deployment update test","maks0","['ad30fbeb-0c34-4247-a966-fe8e2958f7da', 'f99e8bb8-9458-465d-a5d0-be4304ccc981']","{'diskSize': 1, 'diskCount': 1}",SUCCESSFUL,,2023-04-07T18:03:34.723142Z,2023-04-07T18:25:46.660035Z,7,7,,,

126e7d64-6e9d-4c0f-b711-c6e26f9736ad,Create,administrator,"deployment update test","maks1","['c3aa8a34-1923-4e62-b2fd-a2ab287650dd', 'fff0f0e5-09f9-4406-bad0-8f10f76f3728']","{'diskSize': 1, 'diskCount': 1}",SUCCESSFUL,,2023-04-07T17:58:52.960306Z,2023-04-07T18:21:17.918550Z,7,7,,,

ba9fbeff-1b91-4149-995a-38fb1b6af09d,Resize Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'capacityGb': 2, 'selectDisk': '/resources/disks/f73c5c5e-4b7e-4158-a3b1-21a53daa4e94'}",SUCCESSFUL,,2023-04-07T17:35:32.854910Z,2023-04-07T17:36:06.192050Z,2,2,Cloud.vSphere.Machine.Resize.Compute.Disk,,

9575c127-0651-47fc-aa0c-76b1d77c7291,Add Disk,administrator,,"maks10","['59985d60-57cc-4054-b1df-f6d3cc49e93a', '5ecb5490-8556-451a-8092-74c5ff5f4e0b']","{'name': 'testAgain', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",ABORTED,Cancel requested by administrator,2023-04-07T16:17:15.414460Z,2023-04-07T17:35:00.293713Z,6,3,Cloud.vSphere.Machine.Add.Disk,,

478cade7-0821-409b-86ad-ea1d419291c4,Add Disk,administrator,,"maks10","['59985d60-57cc-4054-b1df-f6d3cc49e93a', '238fdc5d-0006-4272-af12-651e34addaea']","{'name': 'approvalTest', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",ABORTED,Cancel requested by administrator,2023-04-07T16:00:43.345599Z,2023-04-07T16:10:56.403204Z,6,3,Cloud.vSphere.Machine.Add.Disk,,

2ca93827-e7f6-4cd5-9308-a7ce682c8f1a,Add Disk,administrator,,"maks10","['42b67cc9-1f52-418a-a503-f59a74297721', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'another small disk', 'encrypted': False, 'capacityGb': 1, 'persistent': False, 'useVmFolderForCreate': True}",ABORTED,Cancel requested by administrator,2023-04-07T15:54:18.657198Z,2023-04-07T16:00:08.409460Z,6,3,Cloud.vSphere.Machine.Add.Disk,,

de0f0026-3cad-4217-9825-efa366fd6a69,Add Disk,administrator,,"maks10","['0686637f-1bd3-48bd-bd07-ea5fa5279309', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'another', 'encrypted': False, 'capacityGb': 2, 'persistent': False, 'useVmFolderForCreate': True}",SUCCESSFUL,,2023-03-21T14:19:49.724054Z,2023-03-21T14:20:52.741580Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

15eda19d-4e4c-48a6-b973-7c46ac20f734,Add Disk,administrator,,"maks10","['f73c5c5e-4b7e-4158-a3b1-21a53daa4e94', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'newDisk', 'capacityGb': '1'}",SUCCESSFUL,,2023-02-02T16:00:06.030250Z,2023-02-02T16:01:09.326754Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

f6287a7e-acde-4c07-9372-080337355e7f,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T15:58:57.181595Z,2023-02-02T15:59:14.031640Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

4e9f5956-c1ba-45bb-8974-fb076abfbe09,Add Disk,administrator,,"maks10","['9fee11c3-e47b-407c-b148-b0baacddeadd', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'newDisk', 'capacityGb': '1'}",SUCCESSFUL,,2023-02-02T15:25:12.027793Z,2023-02-02T15:26:14.506612Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

d5489da1-3cac-4b1f-bb1a-95c35c7d4612,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T15:24:00.472031Z,2023-02-02T15:24:15.232960Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

9
c4ff411-8313-430d-8145-0cfab0a5f92f,Add Disk,administrator,,"maks10","['59985d60-57cc-4054-b1df-f6d3cc49e93a', 'a2802960-2091-4a83-9567-09f7ef6cecc6']","{'name': 'newDisk', 'capacityGb': '1'}",SUCCESSFUL,,2023-02-02T02:13:23.577167Z,2023-02-02T02:14:17.908571Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

77fd8f78-5eb5-4b00-a0ae-06b0e8213698,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T02:12:15.166475Z,2023-02-02T02:13:03.655897Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

